List of pigments:,Location:,Detailed Location:,Color Group:,,,Combination Chart:,Gormenghast Moss,Orpiment Tabby,Sinoper Shroud,Warm Sienna,Bianco di San Giovanni,Corrupted Vermillion,Ten Thousand Emeralds,Ecru Winnower,Phlox Paroxysm,Albescent Iridescence,Nattier,Old Guard Vogue Puce,Crystaline Blue,Ancient Argent,Metalic Sands,Plumbeous Cinder,Skobeloff Forest,Cerulean-ish Ultramarine,Cherry on Top,Inchoate Wossname,Amaranthine Psychopomp,Ashen Char,Drunkard's Pillow,Eburean Sky Sail,Horizon Bound,Gilded Bronze,Sky Captain's Spruce,Chimerical Sarcoline,True Eigengrau,Lusty Gallan,Cubic Periwinkle,Cornsilk Strand,Vitamin B Chartreuse,Infinite Amethyst,Ethereal Mist,Smaragdine Sea,Rotting Pearl,Aureolin Virulence ,Caput Mortuum,Han Purple,Celestial Obsidian,Xanadu,Laminar Claret,A Vague Sense of Unease
Nattier,Bledavik,,Blue,,,,Scene: Country side Railroad,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Guard Vogue Puce,Bledavik,,Pink,,,,,Abstract mess,,,,,,,Abstract Mess,,,,,Scene: Old Theatre,,,,,,,Scene: A Land Afar,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,
Crystaline Blue,Bledavik,,Blue,,,,,Abstract Mess,Abstract Mess,Abstract Mess,,,,,Abstract Mess,,,,,,,,,Abstract Mess,,,Scene: Magical Catdom,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,
Ancient Argent,Sand Caverns,,Gray,,,,Abstract Mess,,,Abstract Mess,Abstract Mess,Abstract Mess,,,Abstract Mess,,,Scene: Old Theatre,Abstract Mess,,,,,Abstract Mess,,Abstract Mess,,Scene: Mindscape,,Abstract Mess,Abstract Mess,,,,,,,,,,,,,,,,,,,
Metalic Sands,Sand Caverns,,Brown,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,Subject: Kneeling Knight,,,,,,,,,,,,,,,,,Abstract Mess,
Plumbeous Cinder,Sand Caverns,,Gray,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skobeloff Forest,Sand Caverns,,Green,,,,,,,,,,,,,Subject: Tree of time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerulean-ish Ultramarine,Nortune,,Blue,,,,,,Abstract Mess,,Scene: Above The Clouds,,,,,,,,Abstract Mess,,,Abstract Mess,,,Abstract Mess,,,Abstract Mess,Abstract Mess,,,,,Abstract Mess,,,,,,,,,,,,,,,,
Cherry on Top,Nortune,,Red,,,,,,,,Subject: Oddly Colored Mech,,,,,,,,,,,,,,,,,,,Subject: Oddly Colored Mech,Abstract Mess,,,,,,,probably abstract mess according to xin,,,,,Abstract Mess,,,,,,,
Inchoate Wossname,Nortune,,Gray/White,,,,,Scene: Village in a Time Pocket,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,Subject: Self Portrait,,,,,,,,,,Abstract Mess,,,,,,
Amaranthine Psychopomp,Nortune,,Purple,town that starts with e - Eternik?,,Lower Chart: Actualy Done,,,,,,SUBJECT: DEMON,,Abstract Mess,Abstract Mess,,,Scene: A Land Afar,Scene: Magical Catdom,,,,,Scene: Magical Catdom,,,,,Subject: Crowd of Travellers,,Scene: Magical Catdom,,,Abstract Mess,,Subject: Crowd of Travellers,,,,,,,,,,,,,,
Ashen Char,Bledavik,,Gray,,,,,,,,,,,,,,,,Abstract Mess,Scene: Mindscape,,,,Abstract Mess,,,,,Abstract Mess,,Abstract Mess,,,,,,,,,,,,,,,,,,,
Drunkard's Pillow,Dazil,,Orange,,,,,,,,,,,Scene: Soup Kitchen,,,,,,Abstract Mess,,,,Abstract Mess,,,,Abstract Mess,,,,,Abstract Mess,,,,Subject: Crowd of Travellers,Subject: Corroding Scrap ,Subject: Corroding Scrap ,Subject: Crowd of Travellers,,,,,,,,,,
Eburean Sky Sail,Lahan Village,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Bound,Dazil,,Blue,,,,Scene: Country side Railroad,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,
Gilded Bronze,Bledavik,,,,,,,,,,,,,,,,,,,,Subject: Kneeling Knight,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,
Sky Captain's Spruce,Sand Caverns,,Brown,,,,,Abstract Mess,,,,,,,,Abstract Mess,,,Abstract Mess,,,,,,,,,,,,,,,,,,,Subject: University-bound Students,Subject: University-bound Students,,,,,,,,,,,
Chimerical Sarcoline,Dazil,,Red,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,Subject: Self Portrait,,,,,,,,,,,,,,,,,,,,,,,Subject: A Heart Held Close,
True Eigengrau,Lahan Village,,Gray/White,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lusty Gallan,Sand Caverns,,Orange,,,,,,Abstract Mess,,Abstract Mess,,,,,Scene: Village within a Time Pocket,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,
Cubic Periwinkle,Dazil,,Purple,,,,,Subject: Crowd of Travellers,,Abstract Mess,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,
Cornsilk Strand,Bledavik,Back area near the rear tents on the right side,Yellow,,,,,Scene: Soup Kitchen,,,Abstract Mess,,,,,,,,,,,,,Abstract Mess,,,,,Scene: Soup Kitchen,,,,Subject: University-bound Students,,,,,,,,,,,,,,,,,
Vitamin B Chartreuse,Nortune,,Yellow,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infinite Amethyst,Nortune,Behind the alter book,Purple,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethereal Mist,Nortune,"In A Block, in one of the buildings near a jukebox",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smaragdine Sea,Lahan Village,,Green,,,,,,,,,,Scene: City Park,,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,
Rotting Pearl,Dazil,,Gray,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,Scene: Mindscape,,,,,,,,,,,,,,,,,,,,,,
Aureolin Virulence ,Bledavik,Final stall Main area on right ,Yellow,,,,,Scene: Soup Kitchen,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,Scene: Uncanny Moonlit Sky,
Caput Mortuum,Bledavik,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,
Han Purple,,,Purple,,,,,,,Abstract Mess,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celestial Obsidian,Sand Caverns,,Black,,,,,,,Abstract Mess,Subject: Panda in Chef Hat & Apron,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,
Xanadu,,,Green,,,,,,,,,,,,,Subject: Tree of time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laminar Claret,,,Black?,,,,,,,,Subject: Oddly Colored Mech,,,,Subject: A Heart Held Close,,,,,,Abstract Mess,,,,,,,,,,,,,Subject: A Heart Held Close,,,,,,,,,,Scene: Uncanny Moonlit Sky,,,,,,
A Vague Sense of Unease,,,Black,,,,,,,,Subject: Panda in Chef Hat & Apron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Temporary list:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What about ""Vague Sense of Unease""?",,,,,,Cornsilk Strand (Yellow) + Bianco di San Giovanni (White) = Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Paintings:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Soup Kitchen + Crowd of Travellers =,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Village in a Time Pocket + Tree of Time = The Legend of Eternik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,hello chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,hi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,herrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,:rat:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Greetings, friends",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
